SEF	1.0.0
ID	MARSEILLE-ACCOULES-OBSERVATORY
Name	MARSEILLE-ACCOULES-OBSERVATORY
Lat	43.4300
Lon	5.3800
Alt	0.0
Source	ISPDv4
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1837	1	1	8	0	0	1011.90	
1837	1	1	11	0	0	1011.90	
1837	1	1	14	0	0	1011.80	
1837	1	2	8	0	0	1021.40	
1837	1	2	11	0	0	1021.90	
1837	1	2	14	0	0	1021.70	
1837	1	3	8	0	0	1022.80	
1837	1	3	11	0	0	1021.80	
1837	1	3	14	0	0	1021.30	
1837	1	4	8	0	0	1020.40	
1837	1	4	11	0	0	1019.90	
1837	1	4	14	0	0	1020.30	
1837	1	5	8	0	0	1030.70	
1837	1	5	11	0	0	1030.90	
1837	1	5	14	0	0	1030.60	
1837	1	6	8	0	0	1026.70	
1837	1	6	11	0	0	1025.30	
1837	1	6	14	0	0	1023.60	
1837	1	7	8	0	0	1021.70	
1837	1	7	11	0	0	1020.60	
1837	1	7	14	0	0	1020.00	
1837	1	8	8	0	0	1022.60	
1837	1	8	11	0	0	1022.10	
1837	1	8	14	0	0	1022.50	
1837	1	9	8	0	0	1029.70	
1837	1	9	11	0	0	1029.30	
1837	1	9	14	0	0	1029.40	
1837	1	10	8	0	0	1028.30	
1837	1	10	11	0	0	1026.40	
1837	1	10	14	0	0	1024.80	
1837	1	11	8	0	0	1018.50	
1837	1	11	11	0	0	1015.30	
1837	1	11	14	0	0	1013.50	
1837	1	12	8	0	0	1015.90	
1837	1	12	11	0	0	1016.30	
1837	1	12	14	0	0	1016.70	
1837	1	13	8	0	0	1019.80	
1837	1	13	11	0	0	1018.50	
1837	1	13	14	0	0	1017.20	
1837	1	14	8	0	0	1009.20	
1837	1	14	11	0	0	1007.60	
1837	1	14	14	0	0	1007.00	
1837	1	15	8	0	0	1009.60	
1837	1	15	11	0	0	1008.30	
1837	1	15	14	0	0	1007.60	
1837	1	16	8	0	0	1014.00	
1837	1	16	11	0	0	1013.60	
1837	1	16	14	0	0	1013.60	
1837	1	17	8	0	0	1015.40	
1837	1	17	11	0	0	1014.30	
1837	1	17	14	0	0	1013.70	
1837	1	18	8	0	0	1008.40	
1837	1	18	11	0	0	1006.00	
1837	1	18	14	0	0	1004.00	
1837	1	19	8	0	0	1007.60	
1837	1	19	11	0	0	1006.30	
1837	1	19	14	0	0	1005.30	
1837	1	20	8	0	0	1007.10	
1837	1	20	11	0	0	1007.20	
1837	1	20	14	0	0	1007.30	
1837	1	21	8	0	0	1013.70	
1837	1	21	11	0	0	1013.30	
1837	1	21	14	0	0	1013.10	
1837	1	22	8	0	0	1017.30	
1837	1	22	11	0	0	1016.70	
1837	1	22	14	0	0	1015.90	
1837	1	23	8	0	0	1017.70	
1837	1	23	11	0	0	1017.50	
1837	1	23	14	0	0	1016.60	
1837	1	24	8	0	0	1017.20	
1837	1	24	11	0	0	1016.20	
1837	1	24	14	0	0	1014.60	
1837	1	25	8	0	0	1012.00	
1837	1	25	11	0	0	1011.00	
1837	1	25	14	0	0	1009.10	
1837	1	26	8	0	0	1004.00	
1837	1	26	11	0	0	1001.60	
1837	1	26	14	0	0	1000.60	
1837	1	27	8	0	0	1004.30	
1837	1	27	11	0	0	1005.10	
