JANUARY 1879
	1am	2am	3am	4am	5am	6am	7am	8am	9am	10am	11am	Noon	1pm	2pm	3pm	4pm	5pm	6pm	7pm	8pm	9pm	10pm	11pm	Midnight
1	39.0	37.9	37.8	35.3	35.8	34.9	33.6	32.9	32.1	32.9	34.8	34.0	34.7	34.4	33.1	31.9	32.0	31.3	32.0	31.9	31.0	30.0	28.9	28.2
2	27.3	27.0	26.4	26.4	26.9	27.0	27.3	27.9	27.9	29.5	31.7	33.3	34.0	33.0	32.9	31.9	31.2	30.5	30.1	29.7	30.0	28.0	29.8	30.0	
3	28.9	29.0	29.7	30.3	30.7	30.9	30.7	30.0	30.3	30.4	31.6	32.0	32.2	34.3	34.1	32.2	31.1	30.3	30.8	30.8	29.5	28.8	28.0	29.9	
4	29.9	29.1	29.3	30.0	28.8	29.0	29.0	31.2	30.7	30.6	31.6	33.9	35.5	35.9	35.8	34.4	33.0	31.7	32.0	31.4	31.3	30.3	30.0	29.9	
5	29.0	28.2	28.1	28.6	29.1	29.9	29.1	29.5	30.0	30.3	32.2	33.6	34.3	34.4	34.4	33.8	33.0	32.2	31.0	29.8	28.6	28.2	27.2	26.0	
6	25.8	26.8	28.6	28.7	28.8	30.0	30.0	32.6	34.5	35.6	36.2	36.9	37.0	37.5	37.0	34.0	34.7	34.1	35.0	35.3	36.0	36.6	37.2	37.5	
7	37.9	37.9	38.0	38.0	37.9	37.8	37.7	37.9	37.7	38.0	38.3	38.2	38.2	37.0	34.9	34.7	34.2	34.2	34.6	34.9	35.3	35.3	35.3	35.1	
8	35.2	35.0	34.8	33.7	33.6	33.6	33.5	33.2	32.9	32.4	32.6	32.8	33.8	34.4	33.9	34.0	34.0	32.7	32.1	32.3	31.9	31.9	31.9	30.9	
9	21.9	32.9	33.1	33.3	33.2	33.0	33.0	33.2	33.9	34.2	35.1	35.8	35.1	35.1	34.6	34.4	34.1	34.0	34.0	33.6	33.2	33.0	33.0	32.6
10	32.0	31.9	31.9	31.5	31.1	30.9	30.0	29.7	29.9	30.3	30.3	31.0	31.0	31.3	31.5	31.5	31.3	32.0	32.0	31.3	31.2	30.9	30.9	30.9	
11	30.8	30.9	31.0	31.0	30.0	29.1	29.1	28.4	28.7	29.0	29.5	30.0	30.4	30.4	30.4	29.4	28.6	28.4	28.1	26.5	25.0	24.2	23.0	22.3	
12	21.2	21.4	21.0	20.7	22.9	25.9	28.3	30.0	30.0	32.3	33.6	35.5	36.5	37.3	38.0	38.8	39.1	40.1	40.9	41.7	42.0	43.4	44.0	45.0	
13	45.0	44.7	44.0	43.3	42.1	41.0	41.8	41.3	41.3	40.3	42.2	43.6	44.8	44.3	44.7	43.6	43.5	43.2	42.1	41.8	42.0	42.0	42.0	41.6	
14	42.9	41.3	42.8	44.2	44.7	44.1	44.2	44.9	45.7	45.7	46.2	46.8	47.6	46.3	45.4	44.7	43.4	42.3	41.4	41.0	41.3	40.6	40.4	40.4	
15	39.0	37.8	37.0	37.5	37.6	36.9	37.2	36.9	37.0	37.4	38.5	39.7	41.1	41.8	41.2	40.1	38.0	37.0	35.9	35.3	35.6	35.8	34.9	33.6	
