Calibrated rainfall from Armagh Observatory, 1838-1839(mm). Square 1 raingauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.

Calibrated rainfall from Armagh Observatory, 1850-1859(mm). Square 1 raingauge until Dec 1853, after that Square 2 raingauge was used.
Exceptions: 25 Mar 1850, Nov/Dec 1851, March/Apr 1852, 12 May 1852, 4 Aug 1852, 3 Apr 1859, 19/20 Feb 1859 from Round gauge. 
17 Jul 1856 from S1 and 1-17 May 1856 a mean R and S2.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage, -666 snow, -888 data unavailable, *** data cannot be read.   

Calibrated rainfall from Armagh Observatory. Square 2 raingauge 
Exceptions: Jul 1861, 22/9 Jul 1862,, 8 Jan 1863, 6 Apr 1863, 22 Dec 1863, 2 May 1864, 24/28 Jun 1864, 30 May 1865, 29 Oct 1865,
11 Sep 1866, 30 Jul 1866, 20 Oct 1866, 28/29/30 Jan 1867, 29 Apr 1867, 13 Sep 1867, 9 Oct 1867, 24 Jan 1868, 12 Aug 1868,20/21 Apr 1869, 27 May 1869, 
21 Feb 1865 from Round gauge. 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable, *** data cannot be read.   

Calibrated rainfall from Armagh Observatory, 1870-1879(mm). Square 2 raingauge. 
Exceptions: 4 Jul 1870, Dec 1870, Apr 1874, from Round gauge. 5 Dec 1876, 21 Dec 1877, May 1874 from Kew gauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable, *** data cannot be read.   

Calibrated rainfall from Armagh Observatory, 1880-1889(mm). Square 2 raingauge until Dec 1884, after that 8-inch raingauge. 
Exceptions: 22 Nov 1880, 16 Oct 1882, 20 Jul 1881 from Kew gauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable, *** data cannot be read.    

Calibrated rainfall from Armagh Observatory, 1890-1899(mm).8-inch raingauge 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   

Calibrated rainfall from Armagh Observatory. 1900-1909 (mm).8-inch raingauge. 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.  

Calibrated rainfall from Armagh Observatory.1910-1919(mm). 8-inch raingauge 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   
  
Calibrated rainfall from Armagh Observatory. 1920-1929(mm).8-inch raingauge. 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   

Calibrated rainfall from Armagh Observatory.1930-1939(mm) 8-inch raingauge. 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   

Calibrated rainfall from Armagh Observatory. 1940-1949(mm)8-inch raingauge. Except for 7 & 9 May 1947 from Kew gauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   
 
 Calibrated rainfall from Armagh Observatory.1950-1959(mm). 8-inch raingauge. 
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   

Calibrated rainfall from Armagh Observatory.1960-1969(mm), 8-inch(I) raingauge until Jan 1964, after that  5-inch(J) raingauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   
 
Calibrated rainfall from Armagh Observatory, 1970-1979(mm). 5-inch(J) raingauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   

Calibrated rainfall from Armagh Observatory. 1980-1989(mm). 5-inch(J) raingauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   
 
 Calibrated rainfall from Armagh Observatory. 1990-1999(mm). 5-inch(J) raingauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   

Calibrated rainfall from Armagh Observatory.2000-present(mm) 5-inch(J) raingauge.
Column 1 - date, column 2 Jan, column 3 Feb, column 4 March etc.
Key: -999 date does not exist, -777 frozen guage,-666 snow, -888 data unavailable,*** data cannot be read.   


  1838
  1       0.0       0.0       5.7       0.0       0.0       0.0       2.9      14.0       2.2       0.0      10.0      10.8
  2       0.0       0.4       1.8       0.4      11.7       0.0       2.2       4.7       0.0       0.0       0.0       0.0
  3       0.0       0.0       0.0       0.0       0.0       8.0       0.0       0.0       7.3       0.0       5.6       0.7
  4       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.7       5.1       0.8       1.1       0.0
  5       0.0       0.0       4.3       7.5       0.0       0.0       0.0      13.5       9.7       0.0       3.9       0.0
  6       0.0       4.5       0.0       3.9       0.0       0.0       4.6       4.7      10.3       0.0      18.8       2.0
  7       0.0       0.0       1.7      26.1       0.0       0.0       0.0       0.0       0.0       0.0       7.8       0.0
  8       0.0      11.5       0.0       0.0       0.0       0.0       0.0       5.8       0.0       0.0       4.3       0.0
  9       0.0       0.5       0.0       2.0       0.0      10.9       2.3       4.2       0.0       0.0       0.9       0.0
 10       0.0       0.0       0.0       0.0       0.0       4.3      12.4       3.2       0.0       1.4       0.9       0.4
 11       0.0       0.0       9.1       0.0       0.0       6.7       5.2       0.0       0.0       0.0       0.0       0.2
 12       0.0       0.0       4.3       0.0       0.0       0.0       3.3       0.5       3.7       0.3       0.0       0.0
 13       0.0       0.0       2.2       0.0       0.0       0.0       9.7       0.0       0.0       1.5       0.0       0.0
 14       3.3       0.0       0.0       0.0       0.0       0.0       3.7       0.0       0.0       0.3       0.0       0.0
 15       0.0       0.0       0.0       0.0       0.0       5.5       0.0       0.0       0.0       2.5       0.0       0.7
 16       0.0       0.0       0.0       0.0       0.2       0.0       3.2      13.6       0.0       0.0       0.0       0.0
 17       0.0       4.8       2.7       1.7       0.0       0.0       6.0       0.0       0.0       0.8       0.0       0.0
 18       0.0       0.0       0.0       0.0       6.0       0.0       0.0       8.2       1.0       0.0       0.0       0.0
 19       0.0       0.0       9.0       0.0      16.6      34.9       1.8       0.0       2.5       0.5       0.0       6.2
 20      10.4       0.0       0.1       0.0       0.5       0.0       0.0       8.7       0.0       0.5       0.0       0.0
 21       1.1       0.0       0.0       3.9       0.0       8.0       0.0      13.0       0.0       0.0       0.0       6.8
 22       0.8       0.6       0.0       8.5       0.0       0.0       0.0       0.0       1.7       0.0       3.5       6.2
 23       0.0       2.0       0.0       3.1       0.0       0.0       3.5       1.2       0.0       0.0       0.0       7.9
 24       0.0      10.8       3.3       0.0       0.0       0.0       0.0       6.1       0.0       0.0       0.0      11.2
 25       0.0      10.0       0.6       0.0       0.0       0.0       8.3       0.0       0.0       6.3       0.6       1.8
 26       0.0       0.0       0.0       0.0       0.0       5.2       0.0       0.0       0.0       1.3      15.8       4.5
 27       0.0       2.2       0.0       0.0       0.0       3.0       6.5       0.0       0.0       0.3       4.6       0.0
 28       9.6       2.1       0.6       0.0       7.5       9.5       6.7       0.0       0.0       0.0      22.8       2.8
 29       1.6      -999       0.0       1.4       0.4       0.0       5.2       0.0       0.7       0.0       0.5       0.2
 30       0.0      -999       0.0       0.0       0.0      11.6       2.2       0.0       0.0       0.0       0.0       0.0
 31       3.2      -999       0.0      -999       0.0      -999       0.0       0.0      -999      12.9      -999       0.0
    1839
  1       0.0       4.2       4.2       0.0       0.0       0.0       0.0       0.2       1.9       3.6       4.6       0.0
  2       0.3       6.1       0.0       0.0       0.0       0.0       0.0       0.0       5.6       0.4       2.2       0.0
  3       0.0       1.7       0.0       0.0       5.7       0.0       0.0       0.0       2.0      18.3      11.2       0.1
  4       0.0       0.0       0.0       3.8       0.0       0.0       0.0       0.0       3.1       0.0       4.4       4.7
  5       0.0       0.0       0.0       1.3       0.0       0.0       1.0       2.4       0.0       0.0       0.0       0.0
  6       1.0       2.2       0.0       0.0       0.0       1.8      11.5       3.7      10.8       0.0       1.5       1.4
  7       0.0       2.8       0.0       0.0       0.8       0.3       5.0       1.5       9.7       0.0       1.9       0.0
  8       0.0       1.7       0.0       0.0       0.0       0.8       1.9       0.8       3.6       0.0       8.8       0.0
  9       0.0       0.0       0.0       0.0       0.0       0.0       8.0       1.9       1.3       1.7       0.1       0.8
 10       0.3       0.0       6.3       0.0       0.0      12.7       0.0       3.1       0.0      35.8       0.0       2.3
 11       0.0       0.8       0.0       0.0       0.0       9.3       4.3       0.0       0.0       5.6       0.0      10.8
 12       1.0       0.0       0.8       0.0       0.0       0.0       2.5       0.0       2.0       2.8       0.0      35.9
 13       0.0       0.0       2.9       0.0       0.0       1.0       2.0      12.6       2.0       4.8       4.5      25.3
 14       0.6       0.0       5.3       0.0       2.2       0.0       5.0      13.9      34.1       2.1       1.1       0.0
 15       0.0       0.9       2.3       0.9       0.9       0.0       3.4       3.4       4.6       0.4       1.0       1.2
 16       0.0       0.0       0.0       7.6       0.0       0.0       0.0       1.8       5.1       2.5       0.0       0.3
 17       0.0       0.0       0.0       5.3       0.0       2.9       0.5       1.0       0.6       0.1       0.0       3.2
 18       4.5       0.0       0.6       0.7       5.8       0.1      24.5       0.0       3.7       0.0       4.2       1.9
 19       0.0       0.0       3.4       0.0       0.0       2.3       0.0       4.7       0.0       0.0       0.0       3.3
 20       7.7       0.0       2.5       1.0       0.0      28.2       0.0       0.0       2.2       0.0       4.4       2.0
