1861,06,25,Tuesday,DWR_1861_06-20.jpg
NAIRN, 29.68, 59
ABERDEEN, 29.69, 56
LEITH, 29.66, 63
BERWICK, 29.69, 58
COPENHAGEN, 999.00, 999
ARDROSSAN, 29.63, 60
PORTRUSH, 29.53, 59
SHIELDS, 29.74, 60
SCARBOROUGH, 29.77, 59
HELIGOLAND, 999.00, 999
LIVERPOOL, 29.66, 60
HOLYHEAD, 999.00, 999
GALWAY, 29.51, 63
HELDER, 999.00, 999
YARMOUTH, 29.87, 63
VALENTIA, 29.53, 61
QUEENSTOWN, 999.00, 61
LONDON, 29.86, 62
DOVER, 29.90, 64
PORTSMOUTH, 29.85, 59
WEYMOUTH, 999.00, 999
PORTLAND, 29.78, 58
PLYMOUTH, 29.68, 59
PENZANCE, 29.67, 60
JERSEY, 999.00, 999
BREST, 999.00, 999
LORIENT, 999.00, 999
ROCHEFORT, 999.00, 999
BAYONNE, 999.00, 999
LISBON, 999.00, 999
