1869,03,16,Tuesday,DWR_1869_03-30.jpg
HEARTSCONTENT, 999.00, 999, 999.00
SKUDDESNAES, 29.91, 36, NaN
NAIRN, 29.66, 36, 0.00
ABERDEEN, 29.78, 36, 0.00
LEITH, 29.78, 35, 0.00
ARDROSSAN, 29.75, 38, 0.00
GREENCASTLE, 29.64, 40, 0.03
SHIELDS, 29.81, 36, 0.00
SCARBOROUGH, 29.81, 35, 0.00
LIVERPOOL, 29.82, 37, 0.00
HOLYHEAD, 29.77, 36, 0.00
HELDER, 29.66, 35, NaN
YARMOUTH, 29.74, 37, 0.00
VALENTIA, 29.68, 45, 0.17
ROCHESPOINT, 29.68, 44, 0.25
PEMBROKE, 29.77, 42, 0.00
LONDON, 29.80, 35, 0.00
CAPECLEAR, 29.69, 41, 0.19
CAPGRISNEZ, 29.74, 36, 0.00
BRUSSELS, 29.70, 36, NaN
PORTSMOUTH, 29.82, 36, 0.00
PLYMOUTH, 29.84, 36, 0.00
PENZANCE, 29.77, 45, 0.01
PARIS, 29.77, 32, 0.00
STRASBOURG, 999.00, 34, NaN
BREST, 29.83, 43, 0.00
LORIENT, 29.85, 39, 0.00
ROCHEFORT, 29.83, 39, 0.00
LYONS, 29.73, 37, NaN
BIARRITZ, 999.00, 39, 0.12
CORUNNA, 999.00, 999, NaN
TOULON, 29.41, 34, 0.04
