1874,05,23,Saturday,DWR_1874_05-51.jpg
HAPARANDA, 30.14, 39, 35, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 29.99, 48, 44, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 30.20, 41, 37, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
WISBY, 30.19, 41, 37, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.94, 57, 49, NaN, NaN, NaN, 29.95, 57, 49
THURSO, 29.72, 50, 47, 51, 45, 0.00, 29.83, 49, 45
WICK, 29.75, 50, 47, 50, 44, 0.00, NaN, NaN, NaN
STORNOWAY, 29.68, 55, 53, 58, 43, 0.00, NaN, NaN, NaN
OXO, 29.99, 53, 48, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 30.02, 53, 49, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 30.09, 41, 37, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.72, 49, 47, 62, 46, 0.00, NaN, NaN, NaN
ABERDEEN, 29.74, 48, 47, 49, 45, 0.00, NaN, NaN, NaN
LEITH, 29.71, 47, 46, 51, 44, 0.03, NaN, NaN, NaN
ARDROSSAN, 29.66, 49, 47, 58, 46, 0.04, NaN, NaN, NaN
FANO, 29.88, 53, 53, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.63, 54, 52, 56, 50, 0.00, 29.72, 54, 51
SHIELDS, 999.00, 51, 50, 52, 46, 0.04, NaN, NaN, NaN
DONAGHADEE, 29.62, 52, 51, 53, 47, 0.02, NaN, NaN, NaN
SCARBOROUGH, 29.61, 50, 49, 52, 45, 0.00, 29.77, 51, 49
YORK, 29.62, 57, 54, 60, 45, 0.02, NaN, NaN, NaN
CUXHAVEN, 29.78, 54, 50, 71, 999, 0.00, NaN, NaN, NaN
LIVERPOOL, 29.57, 49, 48, 57, 45, 0.01, NaN, NaN, NaN
HOLYHEAD, 29.58, 52, 52, 61, 48, 0.03, 29.65, 56, 53
KINGSTOWN, 29.60, 53, 51, 54, 51, 0.20, NaN, NaN, NaN
HELDER, 29.59, 72, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 29.58, 53, 52, 64, 48, 0.01, NaN, NaN, NaN
YARMOUTH, 29.55, 53, 52, 57, 50, 0.00, NaN, NaN, NaN
CAMBRIDGE, 29.53, 49, 49, 75, 48, 0.08, NaN, NaN, NaN
VALENTIA, 29.55, 58, 56, 60, 52, 0.54, 29.56, 56, 52
ROCHESPOINT, 29.54, 56, 54, 64, 49, 0.02, NaN, NaN, NaN
OXFORD, 29.54, 50, 49, 68, 50, 0.87, NaN, NaN, NaN
PEMBROKE, 29.57, 53, 51, 58, 50, 0.03, NaN, NaN, NaN
LONDON, 29.52, 55, 53, 76, 52, 0.23, 29.59, 66, 59
PORTISHEAD, 29.53, 54, 52, 60, 48, 0.00, NaN, NaN, NaN
DOVER, 29.50, 60, 57, 60, 53, 0.02, NaN, NaN, NaN
CAPGRISNEZ, 29.42, 58, 58, 61, 53, 0.04, NaN, NaN, NaN
BRUSSELS, 29.53, 57, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HURSTCASTLE, 29.52, 55, 54, 67, 54, 0.04, NaN, NaN, NaN
PLYMOUTH, 29.54, 56, 55, 61, 51, 0.00, NaN, NaN, NaN
SCILLY, 29.57, 55, 54, 63, 53, 0.00, 29.60, 60, 59
CHARLEVILLE, 999.00, 62, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 29.54, 58, 999, 62, 52, 0.24, NaN, NaN, NaN
BREST, 29.54, 55, 55, 64, 51, 0.04, NaN, NaN, NaN
LORIENT, 999.00, 56, 56, 71, 51, 0.04, NaN, NaN, NaN
ROCHEFORT, 29.60, 57, 53, 70, 53, 0.28, 29.60, 999, 999
LYONS, 999.00, 65, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 29.59, 65, 65, 999, 59, 0.12, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 29.80, 55, 53, 60, 53, 0.00, NaN, NaN, NaN
