1863,01,01,Thursday,DWR_1863_01-0.jpg
NAIRN, 29.17, 44
ABERDEEN, 29.25, 43
LEITH, 29.36, 46
BERWICK, 999.00, 999
COPENHAGEN, 29.89, 39
ARDROSSAN, 29.39, 47
PORTRUSH, 29.41, 44
SHIELDS, 29.62, 50
SCARBOROUGH, 29.63, 47
HELIGOLAND, 30.00, 40
LIVERPOOL, 29.69, 52
HOLYHEAD, 29.64, 50
GALWAY, 29.52, 48
HELDER, 30.03, 45
YARMOUTH, 29.98, 45
VALENTIA, 29.66, 51
QUEENSTOWN, 29.73, 52
LONDON, 30.02, 48
DOVER, 999.00, 999
PORTSMOUTH, 30.07, 49
WEYMOUTH, 30.05, 50
PORTLAND, 999.00, 999
PLYMOUTH, 30.05, 51
PENZANCE, 30.05, 52
JERSEY, 30.24, 47
BREST, -999.00, 50
LORIENT, 30.27, 50
ROCHEFORT, 30.38, 54
BAYONNE, 999.00, 37
LISBON, 999.00, 999
