1870,10,27,Thursday,DWR_1870_10-52.jpg
HEARTSCONTENT, 30.14, 28, 0.15
CHRISTIANSUND, 29.20, 38, NaN
SKUDDESNAES, 29.23, 43, NaN
THURSO, 29.19, 32, 0.00
WICK, 29.20, 35, 0.00
OXO, 29.22, 40, NaN
NAIRN, 29.22, 40, 0.00
ABERDEEN, 29.20, 39, 0.00
LEITH, 29.26, 45, 0.01
ARDROSSAN, 29.35, 47, 0.12
GREENCASTLE, 29.35, 45, 0.17
SHIELDS, 29.35, 45, 0.13
SCARBOROUGH, 29.42, 43, 0.13
LIVERPOOL, 29.47, 49, 0.00
HOLYHEAD, 29.50, 47, 0.11
HELDER, 29.52, 50, NaN
YARMOUTH, 29.57, 42, 0.00
VALENTIA, 29.67, 51, 1.25
ROCHESPOINT, 29.65, 47, 0.02
PEMBROKE, 29.60, 52, 0.06
LONDON, 29.65, 45, 0.01
CAPECLEAR, 999.00, 999, 999.00
CAPGRISNEZ, 29.70, 50, 0.35
BRUSSELS, 999.00, 999, NaN
PORTSMOUTH, 29.70, 999, 0.12
PLYMOUTH, 29.72, 51, 0.12
PENZANCE, 29.76, 52, 0.11
PARIS, 999.00, 999, -999.00
STRASBOURG, 999.00, 999, NaN
BREST, 999.00, 52, 0.47
LORIENT, 29.95, 54, 0.39
ROCHEFORT, 30.05, 55, 0.08
LYONS, 999.00, 999, NaN
BIARRITZ, 999.00, 999, 999.00
CORUNNA, 999.00, 999, NaN
TOULON, 999.00, 999, 999.00
