1872,05,30,Thursday,DWR_1872_05-58.jpg
CHRISTIANSUND, 29.80, 50, 48, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SKUDDESNAES, 29.88, 52, 50, NaN, NaN, NaN, 29.93, 50, 50
THURSO, 29.73, 52, 46, 61, 45, 0.03, 29.59, 60, 53
WICK, 29.81, 53, 52, 62, 52, 0.03, NaN, NaN, NaN
OXO, 30.00, 54, 52, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.79, 54, 47, 64, 43, 0.00, NaN, NaN, NaN
ABERDEEN, 29.84, -999, 48, 63, 48, 0.01, NaN, NaN, NaN
LEITH, 29.91, 54, 48, 63, 45, 0.00, NaN, NaN, NaN
ARDROSSAN, 29.93, 51, 47, 58, 50, 0.16, NaN, NaN, NaN
FANO, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.92, 51, 48, 59, 46, 0.03, 29.84, 57, 53
SHIELDS, 29.96, 54, 49, 63, 49, 0.01, NaN, NaN, NaN
SCARBOROUGH, 29.99, 59, 54, 68, 51, 0.00, 29.96, 65, 58
CUXHAVEN, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
LIVERPOOL, 30.06, 54, 51, 64, 49, 0.03, NaN, NaN, NaN
HOLYHEAD, 30.05, 53, 49, 57, 49, 0.09, 29.97, 56, 54
HELDER, 30.05, 55, 999, NaN, NaN, NaN, NaN, NaN, NaN
YARMOUTH, 30.04, 59, 56, 68, 51, 0.03, NaN, NaN, NaN
VALENTIA, 30.13, 51, 50, 57, 50, 0.00, 30.08, 55, 54
ROCHESPOINT, 30.09, 53, 49, 65, 49, 0.12, NaN, NaN, NaN
PEMBROKE, 30.11, 52, 48, 58, 50, 0.03, NaN, NaN, NaN
LONDON, 30.07, 58, 57, 73, 53, 0.08, 30.10, 72, 64
DOVER, 30.07, 56, 55, 66, 54, 0.00, NaN, NaN, NaN
CAPGRISNEZ, 30.10, 54, 54, 59, 51, 0.00, NaN, NaN, NaN
BRUSSELS, 30.08, 58, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 30.08, 60, 56, 69, 55, 0.02, NaN, NaN, NaN
PLYMOUTH, 30.11, 56, 54, 62, 48, 0.01, NaN, NaN, NaN
SCILLY, 30.15, 54, 52, 59, 51, 0.00, 30.15, 59, 57
CHARLEVILLE, 30.10, 58, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.13, 54, 999, 999, 999, 0.00, NaN, NaN, NaN
BREST, 999.00, 53, 51, 57, 48, 0.00, NaN, NaN, NaN
LORIENT, 30.18, 55, 53, 64, 50, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.16, 59, 57, 61, 55, 0.00, 30.21, 60, 56
LYONS, 30.05, 62, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.20, 57, 53, 60, 55, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.00, 57, 53, 57, 55, 0.00, NaN, NaN, NaN
